comment,source,cleaned_comment,final_label
Good,booking,good,positive
"phòng đẹp,đồ ăn ngon",booking,"phòng đẹp , đồ ăn ngon",positive
Bình thường,booking,bình_thường,neutral
nhân viên nhiệt tình cute,booking,nhân_viên nhiệt_tình cute,positive
"Nhân viên thân thiện nhiệt tình, địa điểm tốt",booking,"nhân_viên thân_thiện nhiệt_tình , địa_điểm tốt",positive
Tận tâm của đội ngũ nhân viên ks,booking,tận_tâm của đội_ngũ nhân_viên khách_sạn,positive
Nhân viên lễ tân tên Nhi rất nhiệt tình vui vẻ với khách hàng ! Hỗ trợ khách hàng rất tốt ! Chỗ ngủ sạch sẽ và ngủ rất ngon ! Giá cả hợp lý ! Sẽ quay lại !,booking,nhân_viên lễ_tân tên nhi rất nhiệt_tình vui_vẻ với khách_hàng ! hỗ_trợ khách_hàng rất tốt ! chỗ ngủ sạch_sẽ và ngủ rất ngon ! giá_cả hợp_lý ! sẽ quay lại !,positive
Vị trí.,booking,vị_trí .,neutral
"Tro Lai da lat cung GIA Dinh Thay khách sạn van sạch đẹp  , le tan chu dao ,gan trung tam ,co dip  lan sau de quay Lai va o day",booking,"tro_lai da lat cung gia dinh thay khách_sạn van sạch đẹp , le tan chu dao , gan trung tam , co dip lan sau de quay lai va o day",positive
"Ksan khá gần trung tâm tiện di chuyển đi lại, nhân viên nhiệt tình, tạo điều kiện hỗ trợ check in sớm nữa huhu đáng yêu nói chung 10 điểm",booking,"ksan khá gần trung_tâm tiện di_chuyển đi_lại , nhân_viên nhiệt_tình , tạo điều_kiện hỗ_trợ check in sớm nữa huhu đáng yêu nói_chung 10 điểm",positive
"Phòng tiện nghi, có đồ nấu nướng thoải mái",booking,"phòng tiện_nghi , có đồ nấu_nướng thoải_mái",positive
"khách sạn sạch sẽ, gần trung tâm, nhân viên thân thiện.",booking,"khách_sạn sạch_sẽ , gần trung_tâm , nhân_viên thân_thiện .",positive
"Sơ sài, ít lựa chọn",booking,"sơ_sài , ít lựa_chọn",negative
Khách sạn có hỗ trợ nhận phòng sớm. Bạn dễ tân cũng khá thân thiện.,booking,khách_sạn có hỗ_trợ nhận phòng sớm . bạn dễ tân cũng khá thân_thiện .,positive
Nhân viên nhiệt tình,booking,nhân_viên nhiệt_tình,positive
"Khách sạn gần chợ, gần trung tâm, tiện nghi, buffet sáng rất ngon",booking,"khách_sạn gần chợ , gần trung_tâm , tiện_nghi , buffet sáng rất ngon",positive
